lead_id,created_date,source,community_interest,zone,property_type_interest,budget_range,nationality,lead_score,stage,response_time_hours,total_interactions,ai_assisted,assigned_agent,conversion_value_sar,last_activity_date,follow_up_scheduled
LEAD-000386,2025-01-21,Website,Sedra,North,Townhouse,3M-5M,British,58,Proposal Sent,4.4,11,True,Agent B,0.0,2025-12-20,True
LEAD-000387,2024-04-28,Social Media,Al Jawharah,East,Penthouse,500K-1M,Pakistani,48,New,2.3,3,False,Agent E,0.0,2025-12-26,False
LEAD-000388,2024-07-15,Website,Al Fursan,West,Apartment,2M-3M,Saudi,72,Negotiation,8.1,12,True,Agent C,0.0,2025-12-20,True
LEAD-000389,2025-06-05,Call Center,Marafy,South,Apartment,1M-2M,Egyptian,58,Won,0.3,14,True,Agent D,1690190.0,2025-10-24,False
LEAD-000390,2024-05-08,Exhibition,Al Ahlam,Central,Villa,2M-3M,Saudi,92,Proposal Sent,1.1,11,False,Agent F,0.0,2025-12-27,True
LEAD-000391,2024-02-08,Referral,Dar Al Salam,West,Apartment,3M-5M,Egyptian,79,Proposal Sent,47.7,9,True,Agent B,0.0,2025-12-23,True
LEAD-000392,2024-12-08,Website,Al Bayan,South,Townhouse,3M-5M,Saudi,39,Qualified,10.3,4,True,Agent F,0.0,2025-12-18,True
LEAD-000393,2025-06-25,Social Media,Al Rimal,East,Townhouse,10M+,American,74,Qualified,8.7,10,False,Agent B,0.0,2025-12-27,True
LEAD-000394,2024-10-05,Social Media,Sedra,North,Villa,2M-3M,Saudi,53,Contacted,0.8,1,True,Agent C,0.0,2025-12-22,True
LEAD-000395,2025-11-28,Referral,Al Fursan,West,Duplex,3M-5M,Egyptian,73,New,6.0,2,False,Agent D,0.0,2025-12-25,True
LEAD-000396,2024-07-06,Call Center,Al Yasmin,Central,Townhouse,1M-2M,Indian,31,Won,1.3,10,False,Agent D,1579379.0,2024-12-02,False
LEAD-000397,2025-12-10,Referral,Dar Al Salam,West,Apartment,5M-10M,Other,42,Qualified,22.5,4,True,Agent C,0.0,2025-12-18,False
LEAD-000398,2024-03-08,Call Center,Al Yasmin,Central,Townhouse,500K-1M,UAE,5,Site Visit,1.9,7,True,Agent B,0.0,2025-12-18,True
LEAD-000399,2025-09-06,Partner Agency,Al Rimal,East,Townhouse,5M-10M,Saudi,84,Won,31.8,10,True,Agent A,6905074.0,2025-09-27,False
LEAD-000400,2024-08-08,Social Media,Alarous,North,Villa,10M+,Filipino,57,Site Visit,3.3,6,True,Agent A,0.0,2025-12-19,False
LEAD-000401,2025-05-24,Website,Al Bayan,South,Villa,2M-3M,Egyptian,42,Contacted,31.0,1,True,Agent B,0.0,2025-12-22,True
LEAD-000402,2025-12-30,Website,Dar Al Salam,West,Villa,2M-3M,American,56,Contacted,6.5,1,False,Agent A,0.0,2025-12-31,True
LEAD-000403,2024-08-02,Website,Marafy,South,Villa,3M-5M,Egyptian,33,Site Visit,23.3,9,True,Agent B,0.0,2025-12-23,False
LEAD-000404,2025-06-22,Referral,Al Fursan,West,Townhouse,3M-5M,Indian,45,New,15.6,1,False,Agent B,0.0,2025-12-25,True
LEAD-000405,2024-03-24,Website,Al Fursan,West,Townhouse,2M-3M,Egyptian,58,Negotiation,2.3,10,True,Agent D,0.0,2025-12-28,False
LEAD-000406,2024-10-26,Website,Al Fursan,West,Villa,1M-2M,British,49,Qualified,0.6,4,True,Agent B,0.0,2025-12-26,True
LEAD-000407,2024-05-07,Website,Marafy,South,Villa,10M+,Indian,57,New,0.5,1,True,Agent D,0.0,2025-12-19,False
LEAD-000408,2024-06-19,Website,Al Nargis,Central,Apartment,500K-1M,Jordanian,77,Lost,3.5,15,True,Agent A,0.0,2024-11-01,False
LEAD-000409,2024-03-11,Social Media,Al Yasmin,Central,Duplex,500K-1M,Filipino,51,Lost,3.7,13,True,Agent F,0.0,2024-05-13,False
LEAD-000410,2025-08-27,Call Center,Sedra,North,Duplex,500K-1M,Jordanian,59,Qualified,0.8,1,True,Agent E,0.0,2025-12-24,False
LEAD-000411,2024-07-16,Social Media,Sedra,North,Duplex,500K-1M,British,43,Contacted,7.2,3,False,Agent A,0.0,2025-12-27,False
LEAD-000412,2025-01-07,Email Campaign,Al Bayan,South,Townhouse,2M-3M,Saudi,100,Negotiation,9.4,8,False,Agent B,0.0,2025-12-22,False
LEAD-000413,2024-07-28,Social Media,Marafy,South,Penthouse,500K-1M,American,48,Site Visit,19.1,6,True,Agent D,0.0,2025-12-31,True
LEAD-000414,2024-04-18,Referral,Dar Al Salam,West,Villa,2M-3M,Egyptian,74,Negotiation,23.9,8,True,Agent E,0.0,2025-12-30,False
LEAD-000415,2025-04-23,Exhibition,Al Bayan,South,Townhouse,500K-1M,Saudi,92,Site Visit,11.0,8,True,Agent F,0.0,2025-12-20,True
LEAD-000416,2024-06-15,Email Campaign,Al Jawharah,East,Penthouse,1M-2M,Saudi,38,Contacted,1.4,2,False,Agent A,0.0,2025-12-31,False
LEAD-000417,2024-12-16,Referral,Al Yasmin,Central,Apartment,500K-1M,Pakistani,95,Won,12.3,13,False,Agent F,638109.0,2025-04-20,False
LEAD-000418,2025-11-04,Website,Al Ahlam,Central,Duplex,1M-2M,UAE,69,Site Visit,4.4,8,False,Agent F,0.0,2025-12-22,True
LEAD-000419,2025-05-23,Website,Sedra,North,Apartment,2M-3M,Saudi,30,Contacted,6.4,1,False,Agent C,0.0,2025-12-19,True
LEAD-000420,2025-06-19,Call Center,Marafy,South,Duplex,3M-5M,Saudi,46,Contacted,1.4,2,False,Agent D,0.0,2025-12-18,False
LEAD-000421,2025-10-28,Walk-in,Al Nargis,Central,Townhouse,500K-1M,Indian,64,Site Visit,2.4,6,False,Agent C,0.0,2025-12-25,False
LEAD-000422,2025-03-19,Social Media,Marafy,South,Duplex,5M-10M,Saudi,63,Negotiation,7.3,7,True,Agent F,0.0,2025-12-19,True
LEAD-000423,2025-05-31,Referral,Al Bayan,South,Villa,2M-3M,Indian,56,Site Visit,4.2,6,False,Agent D,0.0,2025-12-23,True
LEAD-000424,2025-04-08,Referral,Al Bayan,South,Villa,2M-3M,Saudi,83,Negotiation,27.6,6,True,Agent D,0.0,2025-12-31,False
LEAD-000425,2025-11-07,Exhibition,Sedra,North,Townhouse,2M-3M,Saudi,46,Qualified,4.2,5,True,Agent B,0.0,2025-12-21,True
LEAD-000426,2024-03-22,Website,Al Ahlam,Central,Apartment,2M-3M,Egyptian,25,Lost,6.9,16,True,Agent D,0.0,2024-04-21,False
LEAD-000427,2024-07-07,Website,Al Rimal,East,Apartment,1M-2M,UAE,73,Lost,7.3,14,True,Agent C,0.0,2024-11-27,False
LEAD-000428,2025-07-29,Social Media,Al Rimal,East,Townhouse,10M+,Saudi,66,New,14.3,1,False,Agent E,0.0,2025-12-25,False
LEAD-000429,2024-02-15,Website,Al Nargis,Central,Penthouse,2M-3M,Indian,57,Lost,29.1,13,True,Agent C,0.0,2024-04-12,False
LEAD-000430,2024-07-28,Website,Al Rimal,East,Villa,2M-3M,Egyptian,54,Qualified,8.9,6,True,Agent F,0.0,2025-12-31,False
LEAD-000431,2025-01-23,Social Media,Al Yasmin,Central,Apartment,3M-5M,Saudi,34,Negotiation,0.5,8,True,Agent D,0.0,2025-12-19,True
LEAD-000432,2024-11-06,Referral,Warefa,North,Apartment,3M-5M,Saudi,88,Lost,3.3,14,True,Agent F,0.0,2024-12-03,False
LEAD-000433,2024-07-18,Partner Agency,Al Yasmin,Central,Apartment,500K-1M,British,11,Site Visit,1.1,5,False,Agent E,0.0,2025-12-26,True
LEAD-000434,2024-03-24,Website,Al Yasmin,Central,Villa,2M-3M,British,75,Site Visit,5.2,7,True,Agent E,0.0,2025-12-22,True
LEAD-000435,2024-08-07,Exhibition,Al Yasmin,Central,Penthouse,3M-5M,Saudi,38,Proposal Sent,11.6,13,True,Agent B,0.0,2025-12-28,True
LEAD-000436,2024-05-04,Call Center,Al Rimal,East,Apartment,3M-5M,Indian,62,Qualified,2.0,5,True,Agent A,0.0,2025-12-27,True
LEAD-000437,2025-04-22,Website,Alarous,North,Apartment,1M-2M,Saudi,67,Qualified,1.9,4,False,Agent D,0.0,2025-12-28,False
LEAD-000438,2024-01-16,Exhibition,Alarous,North,Villa,1M-2M,Indian,89,Negotiation,7.1,10,True,Agent B,0.0,2025-12-21,True
LEAD-000439,2024-04-12,Partner Agency,Warefa,North,Apartment,1M-2M,Filipino,59,Contacted,12.8,2,False,Agent D,0.0,2025-12-28,True
LEAD-000440,2025-11-06,Website,Sedra,North,Townhouse,500K-1M,British,66,Negotiation,8.6,5,True,Agent C,0.0,2025-12-26,True
LEAD-000441,2024-04-18,Website,Al Yasmin,Central,Townhouse,500K-1M,Saudi,24,Contacted,0.7,1,True,Agent E,0.0,2025-12-26,True
LEAD-000442,2024-12-01,Referral,Alarous,North,Penthouse,10M+,Saudi,96,Lost,50.9,17,False,Agent C,0.0,2024-12-09,False
LEAD-000443,2024-10-23,Exhibition,Al Yasmin,Central,Penthouse,2M-3M,Egyptian,42,Qualified,33.9,5,False,Agent B,0.0,2025-12-23,True
LEAD-000444,2024-04-09,Call Center,Al Jawharah,East,Villa,1M-2M,Saudi,70,Proposal Sent,0.7,9,True,Agent A,0.0,2025-12-20,False
LEAD-000445,2024-03-15,Walk-in,Alarous,North,Penthouse,1M-2M,Saudi,81,Site Visit,0.1,7,False,Agent E,0.0,2025-12-28,True
LEAD-000446,2024-04-01,Website,Marafy,South,Townhouse,3M-5M,Saudi,39,Contacted,3.8,1,False,Agent A,0.0,2025-12-19,True
LEAD-000447,2025-01-20,Email Campaign,Al Nargis,Central,Townhouse,1M-2M,Other,38,New,0.7,2,True,Agent D,0.0,2025-12-30,True
LEAD-000448,2025-09-13,Referral,Al Rimal,East,Apartment,3M-5M,Saudi,92,Qualified,5.4,2,True,Agent E,0.0,2025-12-29,True
LEAD-000449,2024-05-05,Call Center,Al Ahlam,Central,Apartment,2M-3M,American,84,Won,1.1,10,True,Agent D,2137504.0,2024-06-02,False
LEAD-000450,2025-11-23,Website,Warefa,North,Townhouse,1M-2M,Jordanian,62,Proposal Sent,5.0,9,True,Agent C,0.0,2025-12-25,False
LEAD-000451,2024-01-26,Social Media,Alarous,North,Townhouse,500K-1M,UAE,40,Negotiation,3.2,12,False,Agent B,0.0,2025-12-20,True
LEAD-000452,2024-04-15,Walk-in,Al Yasmin,Central,Apartment,2M-3M,Pakistani,65,Contacted,2.4,2,True,Agent B,0.0,2025-12-19,False
LEAD-000453,2025-10-27,Social Media,Sedra,North,Apartment,5M-10M,British,94,Won,8.1,12,True,Agent F,6928092.0,2025-11-08,False
LEAD-000454,2024-05-29,Referral,Al Rimal,East,Townhouse,2M-3M,Egyptian,58,Contacted,11.7,1,True,Agent E,0.0,2025-12-25,True
LEAD-000455,2024-03-19,Referral,Al Jawharah,East,Duplex,3M-5M,UAE,47,Lost,13.2,15,True,Agent A,0.0,2024-08-19,False
LEAD-000456,2024-11-18,Social Media,Al Jawharah,East,Villa,2M-3M,Saudi,68,Proposal Sent,11.4,12,False,Agent E,0.0,2025-12-23,True
LEAD-000457,2024-06-21,Social Media,Marafy,South,Townhouse,3M-5M,Indian,36,Contacted,6.4,1,True,Agent C,0.0,2025-12-22,True
LEAD-000458,2025-11-02,Social Media,Warefa,North,Villa,10M+,American,65,Proposal Sent,16.3,10,True,Agent E,0.0,2025-12-29,True
LEAD-000459,2025-01-27,Walk-in,Al Yasmin,Central,Penthouse,2M-3M,Other,93,Proposal Sent,4.6,10,False,Agent B,0.0,2025-12-28,True
LEAD-000460,2024-08-18,Exhibition,Marafy,South,Townhouse,10M+,Saudi,30,Lost,3.8,17,True,Agent C,0.0,2024-09-24,False
LEAD-000461,2025-06-06,Website,Warefa,North,Apartment,500K-1M,Saudi,16,Lost,28.0,17,False,Agent E,0.0,2025-07-20,False
LEAD-000462,2025-10-21,Walk-in,Warefa,North,Apartment,1M-2M,Saudi,68,Won,0.5,15,True,Agent A,1708052.0,2025-11-08,False
LEAD-000463,2025-08-28,Website,Al Ahlam,Central,Villa,500K-1M,Saudi,62,Qualified,15.9,5,False,Agent B,0.0,2025-12-28,True
LEAD-000464,2025-05-12,Social Media,Al Rimal,East,Penthouse,500K-1M,Saudi,61,Contacted,15.3,2,True,Agent E,0.0,2025-12-20,True
LEAD-000465,2025-06-10,Website,Al Yasmin,Central,Villa,3M-5M,American,30,Qualified,2.1,5,False,Agent E,0.0,2025-12-18,True
LEAD-000466,2024-06-01,Website,Al Bayan,South,Townhouse,10M+,Egyptian,81,Proposal Sent,7.7,10,True,Agent F,0.0,2025-12-31,False
LEAD-000467,2025-06-13,Referral,Al Ahlam,Central,Apartment,1M-2M,Pakistani,23,Contacted,3.3,2,False,Agent C,0.0,2025-12-22,True
LEAD-000468,2024-08-09,Social Media,Al Bayan,South,Townhouse,2M-3M,Jordanian,34,Lost,5.7,10,True,Agent A,0.0,2024-12-27,False
LEAD-000469,2024-10-09,Exhibition,Warefa,North,Villa,3M-5M,Saudi,23,Negotiation,34.9,8,False,Agent E,0.0,2025-12-22,False
LEAD-000470,2025-05-20,Call Center,Al Rimal,East,Townhouse,1M-2M,Saudi,52,Contacted,0.3,1,True,Agent F,0.0,2025-12-21,True
LEAD-000471,2024-10-14,Website,Warefa,North,Duplex,2M-3M,Egyptian,21,Contacted,5.8,3,False,Agent A,0.0,2025-12-25,True
LEAD-000472,2025-08-21,Website,Dar Al Salam,West,Townhouse,3M-5M,Egyptian,46,Lost,12.2,13,False,Agent C,0.0,2025-09-24,False
LEAD-000473,2025-05-18,Email Campaign,Marafy,South,Penthouse,3M-5M,Saudi,5,Site Visit,35.1,12,True,Agent D,0.0,2025-12-29,True
LEAD-000474,2024-03-18,Referral,Dar Al Salam,West,Villa,3M-5M,Indian,67,Qualified,4.3,4,True,Agent E,0.0,2025-12-27,True
LEAD-000475,2025-06-04,Website,Alarous,North,Villa,500K-1M,Saudi,39,Won,8.6,13,True,Agent C,836042.0,2025-06-22,False
LEAD-000476,2024-08-24,Social Media,Al Bayan,South,Townhouse,2M-3M,Saudi,22,New,5.4,1,True,Agent C,0.0,2025-12-30,True
LEAD-000477,2024-10-06,Website,Marafy,South,Duplex,3M-5M,Saudi,62,Qualified,0.9,4,False,Agent E,0.0,2025-12-30,True
LEAD-000478,2025-11-05,Exhibition,Al Rimal,East,Villa,1M-2M,UAE,59,Contacted,6.1,1,True,Agent E,0.0,2025-12-31,False
LEAD-000479,2024-10-12,Referral,Al Rimal,East,Villa,3M-5M,Indian,55,Contacted,11.9,1,True,Agent D,0.0,2025-12-22,False
LEAD-000480,2024-04-21,Referral,Al Ahlam,Central,Duplex,2M-3M,Saudi,86,Won,12.6,12,False,Agent E,2286635.0,2024-05-31,False
LEAD-000481,2025-02-06,Exhibition,Alarous,North,Apartment,1M-2M,Pakistani,51,Qualified,2.3,5,True,Agent B,0.0,2025-12-28,True
LEAD-000482,2024-10-10,Walk-in,Sedra,North,Penthouse,2M-3M,Egyptian,61,Lost,0.1,12,False,Agent C,0.0,2025-04-02,False
LEAD-000483,2024-08-08,Partner Agency,Warefa,North,Duplex,500K-1M,Egyptian,84,Negotiation,5.4,11,False,Agent D,0.0,2025-12-24,False
LEAD-000484,2025-04-24,Exhibition,Dar Al Salam,West,Townhouse,2M-3M,Saudi,61,Contacted,4.3,1,False,Agent B,0.0,2025-12-25,False
LEAD-000485,2024-11-05,Call Center,Al Jawharah,East,Villa,3M-5M,Indian,48,Negotiation,0.1,8,True,Agent F,0.0,2025-12-26,True
LEAD-000486,2025-02-24,Social Media,Marafy,South,Townhouse,2M-3M,British,49,Negotiation,4.6,11,True,Agent A,0.0,2025-12-19,True
LEAD-000487,2025-11-28,Walk-in,Al Rimal,East,Apartment,3M-5M,UAE,62,Site Visit,2.2,5,True,Agent C,0.0,2025-12-20,False
LEAD-000488,2025-11-19,Website,Dar Al Salam,West,Townhouse,1M-2M,UAE,79,Lost,13.1,14,True,Agent D,0.0,2025-12-26,False
LEAD-000489,2024-08-22,Call Center,Al Nargis,Central,Villa,1M-2M,Other,81,New,1.5,2,True,Agent B,0.0,2025-12-18,False
LEAD-000490,2024-08-19,Email Campaign,Warefa,North,Duplex,3M-5M,Saudi,18,Qualified,7.3,4,True,Agent C,0.0,2025-12-24,True
LEAD-000491,2024-10-02,Partner Agency,Al Yasmin,Central,Townhouse,5M-10M,Filipino,74,Lost,26.5,16,True,Agent D,0.0,2024-11-20,False
LEAD-000492,2025-01-05,Website,Al Bayan,South,Apartment,2M-3M,Other,64,Site Visit,12.6,5,False,Agent A,0.0,2025-12-18,True
LEAD-000493,2024-07-22,Social Media,Dar Al Salam,West,Townhouse,2M-3M,American,64,Qualified,24.8,5,True,Agent C,0.0,2025-12-24,True
LEAD-000494,2024-06-14,Social Media,Al Jawharah,East,Apartment,1M-2M,Saudi,44,Qualified,26.1,4,False,Agent B,0.0,2025-12-26,False
LEAD-000495,2025-03-02,Website,Warefa,North,Villa,2M-3M,Saudi,62,Proposal Sent,34.0,7,False,Agent D,0.0,2025-12-27,False
LEAD-000496,2024-05-12,Social Media,Al Rimal,East,Villa,2M-3M,Saudi,51,Site Visit,41.6,6,True,Agent C,0.0,2025-12-26,True
LEAD-000497,2024-08-29,Email Campaign,Sedra,North,Villa,2M-3M,Jordanian,52,Contacted,13.9,2,False,Agent D,0.0,2025-12-18,False
LEAD-000498,2025-01-28,Referral,Warefa,North,Penthouse,1M-2M,Saudi,59,Proposal Sent,9.5,8,True,Agent D,0.0,2025-12-27,True
LEAD-000499,2024-07-22,Website,Alarous,North,Apartment,1M-2M,UAE,48,Won,2.1,9,True,Agent E,1409517.0,2024-11-15,False
LEAD-000500,2024-05-08,Social Media,Al Yasmin,Central,Villa,1M-2M,Saudi,63,Qualified,1.0,3,True,Agent C,0.0,2025-12-23,True
LEAD-000501,2025-03-22,Social Media,Al Fursan,West,Duplex,5M-10M,Indian,67,Negotiation,3.2,9,False,Agent B,0.0,2025-12-25,False
LEAD-000502,2024-03-15,Exhibition,Al Nargis,Central,Villa,3M-5M,Saudi,80,Won,27.8,12,False,Agent E,3664525.0,2024-07-02,False
LEAD-000503,2024-11-21,Referral,Dar Al Salam,West,Townhouse,2M-3M,Saudi,64,Contacted,9.8,1,True,Agent B,0.0,2025-12-22,True
LEAD-000504,2025-04-25,Social Media,Al Yasmin,Central,Apartment,500K-1M,Pakistani,32,New,16.9,3,False,Agent E,0.0,2025-12-31,True
LEAD-000505,2024-06-01,Social Media,Al Ahlam,Central,Villa,1M-2M,Indian,8,Qualified,9.9,7,True,Agent F,0.0,2025-12-24,False
LEAD-000506,2024-05-28,Email Campaign,Marafy,South,Villa,1M-2M,Jordanian,42,Negotiation,6.3,9,True,Agent A,0.0,2025-12-27,True
LEAD-000507,2025-02-14,Social Media,Marafy,South,Apartment,2M-3M,Egyptian,65,New,17.6,1,False,Agent A,0.0,2025-12-27,True
LEAD-000508,2025-03-23,Call Center,Al Jawharah,East,Townhouse,1M-2M,British,53,Contacted,0.2,3,True,Agent E,0.0,2025-12-26,True
LEAD-000509,2025-03-09,Exhibition,Marafy,South,Apartment,2M-3M,Saudi,64,Proposal Sent,18.1,7,False,Agent F,0.0,2025-12-28,True
LEAD-000510,2024-09-24,Referral,Al Bayan,South,Townhouse,3M-5M,Egyptian,63,Negotiation,3.5,7,True,Agent B,0.0,2025-12-26,True
LEAD-000511,2025-02-18,Walk-in,Marafy,South,Villa,2M-3M,American,71,Won,0.2,14,False,Agent D,2431558.0,2025-02-26,False
LEAD-000512,2024-03-24,Social Media,Al Rimal,East,Villa,500K-1M,Indian,9,Won,5.9,14,False,Agent E,807778.0,2024-08-04,False
LEAD-000513,2025-01-30,Exhibition,Warefa,North,Apartment,1M-2M,Indian,65,Negotiation,8.9,11,False,Agent B,0.0,2025-12-26,True
LEAD-000514,2025-05-11,Exhibition,Alarous,North,Townhouse,3M-5M,Saudi,30,Site Visit,0.9,4,False,Agent F,0.0,2025-12-20,True
LEAD-000515,2025-02-19,Referral,Al Rimal,East,Apartment,1M-2M,British,76,Won,5.7,9,True,Agent B,1658068.0,2025-07-04,False
LEAD-000516,2025-08-07,Social Media,Alarous,North,Apartment,5M-10M,Saudi,75,Won,23.3,11,True,Agent C,7962052.0,2025-08-20,False
LEAD-000517,2025-04-08,Social Media,Sedra,North,Penthouse,5M-10M,Pakistani,61,Proposal Sent,0.5,10,True,Agent B,0.0,2025-12-18,True
LEAD-000518,2025-11-30,Website,Al Jawharah,East,Townhouse,1M-2M,Indian,32,Lost,7.0,16,True,Agent B,0.0,2025-12-25,False
LEAD-000519,2024-07-19,Referral,Al Jawharah,East,Penthouse,3M-5M,American,96,Lost,15.5,14,True,Agent A,0.0,2024-10-04,False
LEAD-000520,2025-07-21,Website,Al Jawharah,East,Villa,1M-2M,Filipino,35,Site Visit,11.1,6,True,Agent B,0.0,2025-12-23,True
LEAD-000521,2025-03-17,Email Campaign,Al Nargis,Central,Apartment,1M-2M,Saudi,77,Contacted,11.1,3,False,Agent F,0.0,2025-12-22,True
LEAD-000522,2025-09-30,Email Campaign,Al Rimal,East,Villa,2M-3M,Jordanian,19,Qualified,18.1,6,False,Agent F,0.0,2025-12-31,True
LEAD-000523,2024-11-12,Social Media,Al Nargis,Central,Townhouse,1M-2M,Egyptian,37,Site Visit,0.7,6,True,Agent B,0.0,2025-12-29,True
LEAD-000524,2024-11-15,Exhibition,Al Jawharah,East,Townhouse,1M-2M,Saudi,38,Contacted,32.3,2,False,Agent A,0.0,2025-12-26,True
LEAD-000525,2025-04-02,Partner Agency,Al Rimal,East,Duplex,1M-2M,British,38,Negotiation,6.2,7,False,Agent E,0.0,2025-12-27,True
LEAD-000526,2024-11-25,Partner Agency,Warefa,North,Townhouse,500K-1M,Indian,63,Negotiation,15.2,5,False,Agent F,0.0,2025-12-23,True
LEAD-000527,2025-11-01,Social Media,Al Nargis,Central,Townhouse,2M-3M,American,10,Negotiation,11.1,6,True,Agent E,0.0,2025-12-21,False
LEAD-000528,2024-06-01,Partner Agency,Al Bayan,South,Villa,5M-10M,Other,61,Site Visit,6.0,5,True,Agent A,0.0,2025-12-20,True
LEAD-000529,2025-11-11,Website,Al Yasmin,Central,Townhouse,1M-2M,Saudi,23,Qualified,14.6,4,True,Agent A,0.0,2025-12-23,True
LEAD-000530,2024-05-11,Referral,Al Rimal,East,Villa,5M-10M,Saudi,73,Proposal Sent,8.6,13,True,Agent D,0.0,2025-12-18,True
LEAD-000531,2024-11-05,Website,Marafy,South,Villa,1M-2M,UAE,36,New,12.4,1,True,Agent F,0.0,2025-12-31,True
LEAD-000532,2025-10-15,Call Center,Al Yasmin,Central,Villa,500K-1M,Filipino,25,Proposal Sent,2.2,14,True,Agent F,0.0,2025-12-18,False
LEAD-000533,2024-07-31,Call Center,Al Fursan,West,Apartment,500K-1M,UAE,76,Won,0.8,15,True,Agent D,673258.0,2024-11-02,False
LEAD-000534,2025-12-23,Social Media,Al Rimal,East,Apartment,1M-2M,Pakistani,65,Contacted,0.5,1,True,Agent A,0.0,2025-12-31,False
LEAD-000535,2025-03-21,Website,Dar Al Salam,West,Duplex,3M-5M,Saudi,69,Negotiation,6.4,8,True,Agent F,0.0,2025-12-21,True
LEAD-000536,2024-09-02,Social Media,Dar Al Salam,West,Duplex,5M-10M,UAE,72,Won,6.4,13,True,Agent B,7728795.0,2025-02-27,False
LEAD-000537,2025-08-09,Website,Al Jawharah,East,Townhouse,500K-1M,Indian,86,Proposal Sent,4.7,11,True,Agent E,0.0,2025-12-25,True
LEAD-000538,2025-06-03,Website,Al Nargis,Central,Penthouse,1M-2M,Indian,28,Negotiation,20.6,4,True,Agent A,0.0,2025-12-21,True
LEAD-000539,2024-05-12,Exhibition,Al Jawharah,East,Townhouse,1M-2M,British,65,Qualified,0.5,3,True,Agent B,0.0,2025-12-30,False
LEAD-000540,2025-04-13,Website,Al Fursan,West,Villa,5M-10M,Saudi,42,Lost,14.5,17,True,Agent C,0.0,2025-06-02,False
LEAD-000541,2025-09-13,Walk-in,Marafy,South,Villa,3M-5M,Saudi,98,Proposal Sent,3.6,14,True,Agent D,0.0,2025-12-27,False
LEAD-000542,2025-06-20,Exhibition,Al Jawharah,East,Townhouse,500K-1M,Filipino,64,Proposal Sent,19.0,9,True,Agent C,0.0,2025-12-24,False
LEAD-000543,2025-09-08,Partner Agency,Al Bayan,South,Villa,2M-3M,American,93,Proposal Sent,7.4,7,True,Agent D,0.0,2025-12-18,True
LEAD-000544,2025-09-14,Walk-in,Alarous,North,Townhouse,1M-2M,Filipino,58,New,7.2,1,True,Agent E,0.0,2025-12-31,True
LEAD-000545,2025-07-28,Walk-in,Sedra,North,Apartment,500K-1M,Saudi,45,Contacted,0.1,1,True,Agent C,0.0,2025-12-21,True
LEAD-000546,2024-10-23,Email Campaign,Al Jawharah,East,Duplex,3M-5M,Saudi,72,Won,0.5,9,True,Agent A,4561288.0,2024-12-21,False
LEAD-000547,2025-01-09,Walk-in,Al Nargis,Central,Townhouse,2M-3M,Indian,74,Proposal Sent,0.5,11,True,Agent C,0.0,2025-12-27,True
LEAD-000548,2024-02-25,Social Media,Al Jawharah,East,Villa,3M-5M,Saudi,49,Proposal Sent,10.5,14,True,Agent A,0.0,2025-12-26,True
LEAD-000549,2025-07-27,Website,Warefa,North,Villa,2M-3M,Indian,48,Negotiation,24.2,6,True,Agent A,0.0,2025-12-19,False
LEAD-000550,2024-12-16,Social Media,Al Jawharah,East,Apartment,3M-5M,Saudi,91,Won,1.3,10,False,Agent F,4384563.0,2025-03-11,False
LEAD-000551,2025-08-12,Referral,Al Ahlam,Central,Townhouse,2M-3M,Indian,100,Won,14.9,10,True,Agent C,2468690.0,2025-11-18,False
LEAD-000552,2024-07-04,Website,Dar Al Salam,West,Penthouse,1M-2M,Pakistani,48,Lost,17.7,13,True,Agent B,0.0,2024-12-14,False
LEAD-000553,2024-09-29,Email Campaign,Dar Al Salam,West,Apartment,1M-2M,Filipino,15,Site Visit,11.1,9,True,Agent A,0.0,2025-12-30,True
LEAD-000554,2024-07-07,Call Center,Alarous,North,Townhouse,500K-1M,Pakistani,30,Site Visit,0.2,6,False,Agent F,0.0,2025-12-27,True
LEAD-000555,2024-07-17,Exhibition,Al Nargis,Central,Apartment,2M-3M,Saudi,61,Contacted,11.4,1,True,Agent A,0.0,2025-12-31,False
LEAD-000556,2024-02-16,Partner Agency,Dar Al Salam,West,Townhouse,10M+,Saudi,62,Negotiation,5.0,11,True,Agent A,0.0,2025-12-19,False
LEAD-000557,2024-01-10,Referral,Al Fursan,West,Townhouse,2M-3M,American,49,Won,28.3,16,True,Agent B,2646558.0,2024-06-29,False
LEAD-000558,2024-03-31,Referral,Al Rimal,East,Villa,1M-2M,UAE,38,Contacted,48.3,6,False,Agent E,0.0,2025-12-19,False
LEAD-000559,2025-04-03,Website,Al Ahlam,Central,Townhouse,1M-2M,Pakistani,10,Lost,1.6,11,True,Agent B,0.0,2025-05-27,False
LEAD-000560,2025-12-14,Call Center,Al Yasmin,Central,Villa,3M-5M,Jordanian,37,Contacted,1.9,3,True,Agent F,0.0,2025-12-23,True
LEAD-000561,2024-11-23,Partner Agency,Marafy,South,Penthouse,3M-5M,Saudi,49,Contacted,45.9,1,True,Agent D,0.0,2025-12-21,True
LEAD-000562,2024-01-02,Call Center,Sedra,North,Townhouse,1M-2M,American,39,Proposal Sent,0.1,12,False,Agent A,0.0,2025-12-21,True
LEAD-000563,2024-08-17,Walk-in,Al Ahlam,Central,Apartment,500K-1M,Saudi,57,Negotiation,1.0,9,True,Agent C,0.0,2025-12-21,False
LEAD-000564,2024-03-01,Exhibition,Dar Al Salam,West,Villa,2M-3M,Jordanian,60,Won,5.2,10,True,Agent C,2325831.0,2024-06-20,False
